Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
Somali US Cooperation	Somali US Cooperation	null	null		DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/country	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/country	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/country																																																													
Terrorist Attack	Terrorist Attack	ACLED Data - East and Horn of Africa Region	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED																																																													
Voter Registration	Voter Registration	Social Institutions & Gender Index (Social Institutions & Gender Index.xlsx)	null		DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population	DOJO/07cc31fc-09db-41a2-aa91-aed193970a10/Population	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Population	0	Yes	1	1	BeatsBest	1			0	yes	1	2	BeatsBest	2		1	"{""id"":""07cc31fc-09db-41a2-aa91-aed193970a10"",,""name"":""IDEA Voter Turnout Database - East Africa (East_Africa_idea_export_40_60fed31c3ab70.xlsx)"""			"{""id"":""03913101-ee9b-4b01-aac2-af2ee1ac1d4f"",,""name"":""IDEA Voter Turnout Database - East Africa (East_Africa_idea_export_40_60fed31c3ab70.xlsx)"""						"Cheryl's #1 and# 2 have different id numbers but seem to be the same DB file. The system's first and second returns also appear to be  these same duplicate datasets. Cheryl found nothing for ""voter registration."" ""Voter turnout"" seems to be closest match."	IDEA Voter Turnout Database - East Africa (East_Africa_idea_export_40_60fed31c3ab70.xlsx)	Registration for the Election		IDEA Voter Turnout Database - East Africa (East_Africa_idea_export_40_60fed31c3ab70.xlsx)	Voting Age Population (VAP)					I'm unclear on which outputs from the IDEA Voter Turnout Database Cheryl selected																									
Voter Registration	Voter Registration	null	null		DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population	DOJO/07cc31fc-09db-41a2-aa91-aed193970a10/Population	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Population																																																													
arrests of journalists	arrests of journalists	null	null		DOJO/UAZ_VUAZ-7901/VUAZ-7901	DOJO/WDI_intentional_homicides_per_100_000_people/intentional_homicides_per_100_000_people	DOJO/WDI_intentional_homicides_female_per_100_000_female/intentional_homicides_female_per_100_000_female																																																													
constitutional reforms	constitutional reforms	null	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/UAZ_VUAZ-7028/VUAZ-7028	DOJO/e8f6aa91-2b52-4daa-b15b-ac1deac63940/office																																																													
correction	correction	null	null		DOJO/UAZ_VUAZ-2637/VUAZ-2637	DOJO/UAZ_VUAZ-2634/VUAZ-2634	DOJO/UAZ_VUAZ-2635/VUAZ-2635																																																													
education and social services aid	education and social services aid	null	null		DOJO/WDI_subsidies_and_other_transfers_of_expense/subsidies_and_other_transfers_of_expense	DOJO/WDI_subsidies_and_other_transfers_current_lcu/subsidies_and_other_transfers_current_lcu	DOJO/WDI_coverage_of_social_safety_net_programs_in_richest_quintile_of_population/coverage_of_social_safety_net_programs_in_richest_quintile_of_population	0	No	3	2	No	3			0	yes	1	2	BeatsBest	2		1	"{""id"":""WDI_coverage_of_social_safety_net_programs_of_population"""	"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.\\nSOURCE ORGANIZATION: ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"""		"{""id"":""WDI_coverage_of_social_safety_net_programs_in_2nd_quintile_of_population"""	"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.\\nSOURCE ORGANIZATION: ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"""		"{""id"":""WDI_benefit_incidence_of_social_protection_and_labor_programs_to_poorest_quintile_of_total_spl_benefits"""	"Benefit incidence of social protection and labor programs (SPL) to poorest quintile shows the percentage of total social protection and labor programs benefits received by the poorest 20% of the population. Social protection and labor programs include social insurance, social safety nets, and unemployment benefits and active labor market programs. Estimates include both direct and indirect beneficiaries.\\nSOURCE ORGANIZATION: ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)"		"Three types of aid are represented in ~84 rows: (1) Food aid, (2) nonspecified bilateral aid, and (3) nonspecified development assistance and official aid. There is no mention of education or social services aid from outside the country. The UAZ's third return is reasonable under the interpretation of government aid to its own citizens. Chery's selections also reflect social safety net programs without mention of aid from outside the country."	World Development Indicators	"Current education expenditure, total (% of total expenditure in public institutions)"		World Development Indicators	Military expenditure (% of general government expenditure)					"I couldn't find anything for education aid, these are internal expenditure datasets I think; military includes social services for military and civil personnel"																									
men_voting	men_voting	IDEA Voter Turnout Database - East Africa (East_Africa_idea_export_40_60fed31c3ab70.xlsx)	null		undefined	undefined	undefined																																																													
men_voting	men_voting	null	null		undefined	undefined	undefined																																																													
personal data insecurity	personal data insecurity	null	null		DOJO/WDI_income_share_held_by_highest_10/income_share_held_by_highest_10	DOJO/WDI_income_share_held_by_lowest_10/income_share_held_by_lowest_10	DOJO/WDI_gross_domestic_savings_current_lcu/gross_domestic_savings_current_lcu																																																													
terrorist attack	terrorist attack	ACLED Data - East and Horn of Africa Region	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED																																																													
wm/concept/agriculture	wm/concept/agriculture/	"Beans, dry (Area harvested, units = ha)"	null		DOJO/UAZ_VUAZ-169/VUAZ-169	DOJO/UAZ_VUAZ-5306/VUAZ-5306	DOJO/UAZ_VUAZ-158/VUAZ-158	0	Node Issue	N/A	2	Node Issue	N/A			0	Node Issue	N/A	1	Node Issue	N/A												"The node concept is very broad. 285 cells in the display_name field match ""agricultur."" UAZ returns are: FAO: Agricultural Use, Concent Superphosphate; AO: Agricultural Use, Dithiocarbamates[tonnes; and ""FAO: Agricultural Use, Ammonia[tonnes]. These are all agricultural  pesticide usage."										"This node is too broad, the UAZ returns are too ""oddly specific"" for such a broad node"																									
wm/concept/agriculture/crop/crops	wm/concept/agriculture/crop/crops	Environment_Emissions_by_Sector_Share of total emissions (SAR)	DOJO/b6857933-3449-4b5d-9499-5e58c4a56771/Herbage Anpp		DOJO/4071153e-9257-4b72-918f-3703f1e3d286/production	DOJO/633230aa-450b-4ca2-96eb-a0dc3262c3d1/production	DOJO/9e147b4b-495b-4451-ade7-3329d7f43e7e/production																																																													
wm/concept/agriculture/crop/crops	wm/concept/agriculture/crop/crops	FAOSTAT Crop Production Data - East Africa - 2010-2019 (FAOSTAT_Crop_Production_data_East-Africa.xlsx)	DOJO/b6857933-3449-4b5d-9499-5e58c4a56771/Herbage Anpp		DOJO/4071153e-9257-4b72-918f-3703f1e3d286/production	DOJO/633230aa-450b-4ca2-96eb-a0dc3262c3d1/production	DOJO/9e147b4b-495b-4451-ade7-3329d7f43e7e/production																																																													
wm/concept/agriculture/crop/major_crops	wm/concept/agriculture/crop/major_crops	"Beans, dry (Area harvested, units = ha)"	DOJO/ETH-CROP/Yield		DOJO/32bb31e1-94ee-4f26-84bc-548ce516a520/production	DOJO/928ddd70-0266-49d7-ba10-704389eaf1b0/production	DOJO/1de00996-ddd1-4f26-804f-6b5050574997/production																																																													
wm/concept/agriculture/crop/sorghum_price_or_cost	wm/concept/agriculture/crop/sorghum wm/property/price_or_cost	"Beans, dry (Area harvested, units = ha)"	null		DOJO/UAZ_VUAZ-661/VUAZ-661	DOJO/UAZ_VUAZ-660/VUAZ-660	DOJO/UAZ_VUAZ-1935/VUAZ-1935																																																													
wm/concept/agriculture/crop/vegetables	wm/concept/agriculture/crop/vegetables	"Beans, dry (Area harvested, units = ha)"	null		DOJO/UAZ_VUAZ-4442/VUAZ-4442	DOJO/UAZ_VUAZ-4971/VUAZ-4971	DOJO/UAZ_VUAZ-2171/VUAZ-2171	0	Node Issue	N/A	3	Node Issue	N/A			0	Node Issue	N/A	3	Node Issue	N/A			"{""id"":""UAZ_VUAZ-1731"", ,""name"":""University of Arizona Indicators """	",""display_name"":""FAO: Food supply (kcal/capita/day), Vegetables[kcal/capita/day]"", ,""description"":""FAO: Food supply (kcal/capita/day), Vegetables[kcal/capita/day]"""		"{""id"":""UAZ_VUAZ-2172"", ,""name"":""University of Arizona Indicators """	",""display_name"":""FAO: Food, Vegetables[1000 tonnes]"", ,""description"":""FAO: Food, Vegetables[1000 tonnes]"""		"{""id"":""UAZ_VUAZ-2272"", ,""name"":""University of Arizona Indicators """	",""display_name"":""FAO: Gross Production Value (constant 2004-2006 1000 I$), Vegetables, fresh nes[1000 Int. $]"", ,""description"":""FAO: Gross Production Value (constant 2004-2006 1000 I$), Vegetables, fresh nes[1000 Int. $]"""		"The node concept is very broad. Vegetable topics represented in the data include supply quantity, production, losses, stock variation, import quantity, import value, export quantity, export value, area harvest, yields, etc. UAZ returns are: FAO: Production, Vegetables Primary[tonnes; FAO: Yield, Vegetables Primary[hg/ha]; FAO: Food, Vegetable Oils[1000 tonnes."										"This node is also very broad.  It should really be composed with ""production"" or something to say what it is about the crop that this node represents"																									
wm/concept/agriculture/crop/vegetables_purchasing_power	wm/concept/agriculture/crop/vegetables wm/concept/economy/purchasing_power	"Beans, dry (Area harvested, units = ha)"	null		DOJO/UAZ_VUAZ-1839/VUAZ-1839	DOJO/UAZ_VUAZ-2064/VUAZ-2064	DOJO/UAZ_VUAZ-1951/VUAZ-1951																																																													
wm/concept/agriculture/crop_production	wm/concept/agriculture/crop/ wm/process/production	Cycles_Kenya_Crop_Production_Cassava	null		DOJO/1981ffb6-0e07-4c46-acba-2e6e35758438/Production Value	DOJO/bf8a23c8-c2f9-4523-93c2-b645d5a2c7d5/production	DOJO/928ddd70-0266-49d7-ba10-704389eaf1b0/production																																																													
wm/concept/agriculture/crop_production	wm/concept/agriculture/crop/ wm/process/production	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		DOJO/1981ffb6-0e07-4c46-acba-2e6e35758438/Production Value	DOJO/bf8a23c8-c2f9-4523-93c2-b645d5a2c7d5/production	DOJO/928ddd70-0266-49d7-ba10-704389eaf1b0/production																																																													
wm/concept/agriculture/crop_production	wm/concept/agriculture/crop/ wm/process/production	FAOSTAT Crop Production Data - East Africa - 2010-2019 (FAOSTAT_Crop_Production_data_East-Africa.xlsx)	null		DOJO/1981ffb6-0e07-4c46-acba-2e6e35758438/Production Value	DOJO/bf8a23c8-c2f9-4523-93c2-b645d5a2c7d5/production	DOJO/928ddd70-0266-49d7-ba10-704389eaf1b0/production																																																													
wm/concept/agriculture/dairy	wm/concept/agriculture/dairy	"Horses (Stocks, units = Head)"	DOJO/0ba1b39e-da36-478b-84ef-9ecbd5f5cf93/Hybrid		DOJO/UAZ_VUAZ-1441/VUAZ-1441	DOJO/UAZ_VUAZ-3157/VUAZ-3157	DOJO/UAZ_VUAZ-3214/VUAZ-3214	1	Node Issue	N/A	3	Node Issue	N/A			1	Node Issue	N/A	2	Node Issue	N/A			"{""id"":""UAZ_VUAZ-3157"", ,""name"":""University of Arizona Indicators """	",""display_name"":""FAO: Import Value, Dairy Products+Eggs[1000 US$]"", ,""description"":""FAO: Import Value, Dairy Products+Eggs[1000 US$]"""		"{""id"":""UAZ_VUAZ-4863"", ,""name"":""University of Arizona Indicators """	",""display_name"":""FAO: Stocks, Cattle, dairy[Head]"", ,""description"":""FAO: Stocks, Cattle, dairy[Head]"""		"{""id"":""UAZ_VUAZ-1441"", ,""name"":""University of Arizona Indicators """	",""display_name"":""FAO: Export Value, Dairy Products+Eggs[1000 US$]"", ,""description"":""FAO: Export Value, Dairy Products+Eggs[1000 US$]"""		"The node concept is quite broad.  Most of the display names that mention ""dairy"" mention it in the context of manure and green gas emission. UAZ returns are reasonable. The Causemos default indicator is: CSA data maintained by ATA for poultry impact model.  Chicken population by breed type (indigenous, exotic, hybrid, improved) from 2015-2019"". This is definitely not dairy."	FAO Livestock Data	"Milk, skimmed cow (Production, units = tonnes)"		University of Arizona Indicators 	"FAO: Gross Production Value (current million SLC), Milk, whole fresh goat[SLC]"		FAO Livestock Data	"Cattle (Stocks, units = Head)"		"I read this as dairy production but it's underspecified.  There are a bunch of butter/cheese/etc. indicators similar to the first one and goat/sheep in addition to cow.  UAZ went with import/export values.  Given the vagueness of the node, I might have prefered more breadth."																									
wm/concept/agriculture/disease	wm/concept/agriculture/disease/	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"	DOJO/UAZ_VUAZ-8309/VUAZ-8309	DOJO/UAZ_VUAZ-8037/VUAZ-8037																																																													
wm/concept/agriculture/disease/crop_disease	wm/concept/agriculture/disease/crop_disease	"Beans, dry (Area harvested, units = ha)"	null		DOJO/Kimetrica_Ethiopia_Crop_Production/yield	DOJO/e15d0e45-f203-434e-80b8-d2c16aae9e62/Yield Value	DOJO/4071153e-9257-4b72-918f-3703f1e3d286/production																																																													
wm/concept/agriculture/disease/livestock_disease	wm/concept/agriculture/disease/livestock_disease	"Millet (Area harvested, units = ha)"	DOJO/b6857933-3449-4b5d-9499-5e58c4a56771/Livestock Defoliation Propn		DOJO/UAZ_VUAZ-3492/VUAZ-3492	DOJO/UAZ_VUAZ-3487/VUAZ-3487	DOJO/UAZ_VUAZ-3827/VUAZ-3827																																																													
wm/concept/agriculture/disease/livestock_disease_substance_abuse	wm/concept/agriculture/disease/livestock_disease wm/concept/health/substance_abuse	"Millet (Area harvested, units = ha)"	null		DOJO/UAZ_VUAZ-1704/VUAZ-1704	DOJO/UAZ_VUAZ-1927/VUAZ-1927	DOJO/UAZ_VUAZ-2040/VUAZ-2040																																																													
wm/concept/agriculture/disease/veterinary_care	wm/concept/agriculture/disease/veterinary_care	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		DOJO/WDI_physicians_per_1_000_people/physicians_per_1_000_people	DOJO/WDI_nurses_and_midwives_per_1_000_people/nurses_and_midwives_per_1_000_people	DOJO/WDI_community_health_workers_per_1_000_people/community_health_workers_per_1_000_people																																																													
wm/concept/agriculture/disease/veterinary_care	wm/concept/agriculture/disease/veterinary_care	FAOSTAT Livestock Producing Animals/Slaughtered - East Africa - 2010-2019 (FAOSTAT_Livestock_Producing-Slaughter_data_East-Africa.xlsx)	null		DOJO/WDI_physicians_per_1_000_people/physicians_per_1_000_people	DOJO/WDI_nurses_and_midwives_per_1_000_people/nurses_and_midwives_per_1_000_people	DOJO/WDI_community_health_workers_per_1_000_people/community_health_workers_per_1_000_people																																																													
wm/concept/agriculture/disease_COVID	wm/concept/agriculture/disease/ wm/concept/health/disease/COVID	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/UAZ_VUAZ-8309/VUAZ-8309	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"																																																													
wm/concept/agriculture/disease_epidemic	wm/concept/agriculture/disease/ wm/concept/crisis_or_disaster/epidemic	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)																																																													
wm/concept/agriculture/disease_illness	wm/concept/agriculture/disease/ wm/concept/health/disease/illness	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"	DOJO/bd382073-9d1e-4ca0-85fc-d3aee1cdb147/sam_rate	DOJO/UAZ_VUAZ-8309/VUAZ-8309																																																													
wm/concept/agriculture/disease_outbreak	wm/concept/agriculture/disease/ wm/process/outbreak	Environment_Emissions_by_Sector_Share of total emissions (SAR)	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)																																																													
